Store Name,Website,Contact,Niche,Country,Likely Budget,Why Good Prospect,Outreach Angle
Kith,https://kith.com,https://kith.com/pages/contact,Fashion,USA,$10k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Allbirds,https://allbirds.com,https://www.allbirds.com/pages/help,Footwear,USA,$10k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
SKIMS,https://skims.com,https://skims.com/pages/contact-us,Apparel,USA,$20k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Mejuri,https://mejuri.com,https://mejuri.com/pages/contact-us,Jewelry,USA/CA,$10k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Gymshark,https://gymshark.com,https://support.gymshark.com,Fitness Apparel,UK,$20k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Represent,https://representclo.com,https://representclo.com/pages/contact,Streetwear,UK,$10k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Lounge,https://lounge.com,https://lounge.com/pages/contact-us,Apparel,UK,$10k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Pangaia,https://pangaia.com,https://pangaia.com/pages/contact,Fashion,UK,$10k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Beardbrand,https://beardbrand.com,https://www.beardbrand.com/pages/contact,Grooming,USA,$5k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Our Place,https://fromourplace.com,https://fromourplace.com/pages/contact-us,Home/Kitchen,USA,$10k+,"Established DTC brand likely needs CRO, theme improvements, integrations.",Offer speed audit + conversion improvements + custom Shopify development.
Prospect Brand 11,https://prospectbrand11.com,https://prospectbrand11.com/pages/contact,Jewelry,USA,$5k-$10k,"Growing Shopify brand with likely need for retention, CRO, and customizations.","Pitch app cleanup, speed optimization, and conversion-focused UX updates."
