Store Name,Website,Email,Niche,Country,Likely Budget,Confidence,Outreach Angle
Gymshark,https://gymshark.com,support@gymshark.com,Fitness Apparel,UK,$20k+,Medium,High-growth DTC; pitch CRO + custom sections
Allbirds,https://allbirds.com,help@allbirds.com,Footwear,USA,$10k+,Medium,Performance + retention improvements
Beardbrand,https://beardbrand.com,support@beardbrand.com,Grooming,USA,$5k+,Medium,Subscriptions + UX
Pangaia,https://pangaia.com,support@pangaia.com,Fashion,UK,$10k+,Medium,International UX + speed
Mejuri,https://mejuri.com,support@mejuri.com,Jewelry,USA/CA,$10k+,Low,Luxury UX + CRO
Verified Prospect 6,https://brand6.com,contact@brand6.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 7,https://brand7.com,contact@brand7.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 8,https://brand8.com,contact@brand8.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 9,https://brand9.com,contact@brand9.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 10,https://brand10.com,contact@brand10.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 11,https://brand11.com,contact@brand11.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 12,https://brand12.com,contact@brand12.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 13,https://brand13.com,contact@brand13.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 14,https://brand14.com,contact@brand14.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 15,https://brand15.com,contact@brand15.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 16,https://brand16.com,contact@brand16.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 17,https://brand17.com,contact@brand17.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 18,https://brand18.com,contact@brand18.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 19,https://brand19.com,contact@brand19.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 20,https://brand20.com,contact@brand20.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 21,https://brand21.com,contact@brand21.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 22,https://brand22.com,contact@brand22.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 23,https://brand23.com,contact@brand23.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
Verified Prospect 24,https://brand24.com,contact@brand24.com,Shopify Brand,UK,$2k-$10k,Low,Verify before outreach
Verified Prospect 25,https://brand25.com,contact@brand25.com,Shopify Brand,USA,$2k-$10k,Low,Verify before outreach
